,Estados da Fila 1:,,,
,0,1,2,3
Simulação 1:,1864.8705,53633.4361,39361.4267,417.4449
Simulação 2:,1844.7224,53748.1848,39423.5482,418.5615
Simulação 3:,1822.6080,53559.9297,39487.8135,420.1982
Simulação 4:,1811.1179,53205.0723,39691.4326,452.0949
Simulação 5:,1827.6564,53572.2560,39413.0758,451.7393
Simulção Média,1834.19504,53543.77578,39475.45936,432.00776
,,,,
,Estados da Fila 2:,,,
,0,1,2,3
Simulação 1:,4.5000,428.2116,37384.4480,57460.0186
Simulação 2:,4.5000,477.9611,37433.8183,57518.7375
Simulação 3:,4.5000,449.7749,37293.8639,57542.4106
Simulação 4:,4.5000,477.8526,37055.7869,57621.5782
Simulação 5:,4.5000,468.5328,37425.9990,57365.6957
Simulção Média,4.5000,460.4666,37318.78322,57501.68812